id;author/id;author/name;author/url;participatory_space/id;participatory_space/url;taxonomies/ids;component/id;title/ca;title/en;title/machine_translations/es;description/ca;description/en;description/machine_translations/es;start_time;end_time;attendees;contributions;organizations;address;location;reference;attachments;url;related_proposals;related_results;published;withdrawn;withdrawn_at;location_hints;created_at;updated_at;latitude;longitude;follows_count;private_meeting;transparent;registration_form_enabled;comments/start_time;comments/end_time;comments/enabled;comments/count;online_meeting_url;closing_visible;closing_report;attending_organizations;registration_url;decidim_user_group_id;decidim_author_type;video_url;audio_url;closed_at;registration_terms/ca;registration_terms/en;registration_terms/machine_translations/es;available_slots;registrations_enabled;customize_registration_email;type_of_meeting;iframe_access_level;iframe_embed_type;reserved_slots;registration_type;location/ca;location/en;location/machine_translations/es;location_hints/ca;location_hints/en;location_hints/machine_translations/es
1;1;Nightly Decidim;https://nightly.decidim.org/;1;https://nightly.decidim.org/processes/premium-horizon;"";5;Et odio.;Sapiente sit.;Temporibus corrupti.;<p>Ullam aut aliquam. Rerum assumenda omnis. Sint sed architecto.</p>;<p>Aliquid recusandae tempora. Aut voluptatem qui. Labore ea quae.</p>;<p>Quasi quia accusamus. Nobis et nostrum. Cupiditate quas quis.</p>;2024-10-30 00:00:00 UTC;2024-10-30 04:00:00 UTC;0;0;;1842 Parisian Hollow 73183 East Vitoville;;NIGHT-MEET-2025-01-1;0;https://nightly.decidim.org/processes/premium-horizon/f/5/meetings/1;"";"";true;false;;;2025-01-29 11:08:46 UTC;2025-01-29 11:08:47 UTC;;;0;false;true;false;;;true;4;https://www.youtube.com/watch?v=f6JMgJAQ2tc;;;;;;Decidim::Organization;;;;<p>Eos veniam qui. Laborum ut commodi. Perferendis molestiae et.</p>;<p>Asperiores similique nulla. Quis ut odit. Excepturi nihil libero.</p>;<p>Ipsam iure autem. Exercitationem vero molestias. Maiores veritatis sapiente.</p>;20;false;false;online;all;open_in_new_tab;0;registration_disabled;;;;;;
2;1;Nightly Decidim;https://nightly.decidim.org/;1;https://nightly.decidim.org/processes/premium-horizon;"";5;Asperiores deserunt.;Laudantium ab.;Ipsam modi.;<p>Et quisquam amet. Aut laboriosam et. Consequatur atque vero.</p>;<p>Non ad id. Dolores aut quia. Occaecati dignissimos autem.</p>;<p>Ullam quos illum. Possimus id nam. Neque non at.</p>;2025-06-17 00:00:00 UTC;2025-06-25 00:00:00 UTC;0;0;;385 Patty Forge 44997-6776 West Inez;;NIGHT-MEET-2025-01-2;0;https://nightly.decidim.org/processes/premium-horizon/f/5/meetings/2;"";"";true;false;;;2025-01-29 11:08:47 UTC;2025-01-29 11:08:48 UTC;;;0;false;true;false;;;true;7;https://www.youtube.com/watch?v=f6JMgJAQ2tc;;;;;;Decidim::Organization;;;;<p>Sit et ad. Iure at sed. Hic doloremque sequi.</p>;<p>Eveniet ut dolorum. Aliquam consequatur dignissimos. Ut aut rerum.</p>;<p>Possimus quia iusto. Quaerat enim nihil. Ea eum quis.</p>;30;true;false;online;all;open_in_live_event_page;0;registration_disabled;;;;;;
3;1;Nightly Decidim;https://nightly.decidim.org/;1;https://nightly.decidim.org/processes/premium-horizon;"";5;Voluptatem et.;Qui deserunt.;Quidem aperiam.;<p>Laboriosam et explicabo. Voluptatibus quia molestiae. Reprehenderit labore aperiam.</p>;<p>Pariatur consequatur distinctio. Dolorum ab dolorem. Excepturi voluptatem reiciendis.</p>;<p>Occaecati asperiores modi. Harum dicta sapiente. Vel asperiores rerum.</p>;2024-12-26 00:00:00 UTC;2024-12-26 03:00:00 UTC;0;0;;61426 Stanton Coves 55672-5918 West Lynne;;NIGHT-MEET-2025-01-3;0;https://nightly.decidim.org/processes/premium-horizon/f/5/meetings/3;"";"";true;false;;;2025-01-29 11:08:48 UTC;2025-01-29 11:08:48 UTC;-34.293315744923945;171.50876005826024;0;false;true;false;;;true;2;https://www.youtube.com/watch?v=f6JMgJAQ2tc;;;;;;Decidim::Organization;;;;<p>Explicabo voluptates aut. Et maiores magni. Sunt enim eius.</p>;<p>Aperiam ut vero. Consectetur velit eius. Id nesciunt et.</p>;<p>Non adipisci fugiat. Enim quia porro. Voluptate quos omnis.</p>;20;true;false;hybrid;all;embed_in_meeting_page;0;registration_disabled;Ab quis.;Quia ea.;Veritatis et.;Temporibus placeat ut et quidem magni consequuntur et dolores incidunt reiciendis rerum ab quam quis autem quibusdam reprehenderit.;Dolor voluptatem error nostrum est esse ut autem iusto blanditiis repudiandae id consequatur molestiae itaque inventore incidunt in.;Aut at dolorum voluptatem distinctio necessitatibus enim corporis illo consequuntur tempore accusamus voluptatem in aspernatur optio animi aut.
4;1;Nightly Decidim;https://nightly.decidim.org/;1;https://nightly.decidim.org/processes/premium-horizon;"";5;Eaque qui.;Culpa eos.;Vero itaque.;<p>Facere est et. Doloribus sit non. Aut totam officia.</p>;<p>Nobis vitae inventore. Et ducimus molestias. Laboriosam nisi eos.</p>;<p>Mollitia quis tenetur. Reiciendis et exercitationem. Sed soluta explicabo.</p>;2025-05-26 00:00:00 UTC;2025-05-26 03:00:00 UTC;0;0;;2776 Madaline Isle 62689-9155 New Dedrachester;;NIGHT-MEET-2025-01-4;3;https://nightly.decidim.org/processes/premium-horizon/f/5/meetings/4;"";"";true;false;;;2025-01-29 11:08:48 UTC;2025-01-29 11:08:49 UTC;-86.3114315619646;-173.9493792643887;0;false;true;false;;;true;1;;;;;http://hahn.example/charley_simonis;;Decidim::Organization;;;;<p>Veniam architecto eos. Dolorem velit nihil. Sit quod placeat.</p>;<p>Tempore numquam aut. Minus repellat dignissimos. Non facilis eum.</p>;<p>Sit sed eius. Ea quia deleniti. Fuga architecto aut.</p>;40;false;false;in_person;all;none;0;on_different_platform;Vel nulla aspernatur molestias ea consectetur et amet eius quo quod.;Non laborum et repudiandae dolorem adipisci voluptas omnis repellat nobis laboriosam.;Molestiae vitae eum ducimus temporibus repellat exercitationem quia rerum dolor eius.;Voluptatem necessitatibus maiores omnis amet et deleniti ipsa ab nemo tenetur sed quod quis libero rerum odit.;Occaecati fugit fuga aut nulla cum iure error nobis ducimus consectetur optio sapiente eos et enim repellat.;Et et et culpa dolores alias est optio dolores quisquam sit quo aut voluptatem perspiciatis voluptatibus ullam.
5;1;Nightly Decidim;https://nightly.decidim.org/;1;https://nightly.decidim.org/processes/premium-horizon;"";5;Qui odit.;Consequatur qui.;Aut veniam.;<p>Odit accusamus autem. Quia laboriosam aut. Ipsum recusandae accusantium.</p>;<p>Nihil vel rem. Aperiam ut explicabo. Quibusdam delectus nostrum.</p>;<p>Consequatur sit est. Suscipit quia cum. Nesciunt perspiciatis et.</p>;2025-04-04 00:00:00 UTC;2025-04-05 00:00:00 UTC;0;0;;7851 Renner Rapid 83319-0939 West Debbra;;NIGHT-MEET-2025-01-5;0;https://nightly.decidim.org/processes/premium-horizon/f/5/meetings/5;"";"";true;false;;;2025-01-29 11:08:49 UTC;2025-01-29 11:08:50 UTC;;;0;false;true;false;;;true;6;https://www.youtube.com/watch?v=f6JMgJAQ2tc;;;;http://erdman.test/rob_bogisich;;Decidim::Organization;;;;<p>Blanditiis ex placeat. Porro ab sint. Est iste quia.</p>;<p>Repellendus veniam omnis. In provident reprehenderit. Dolores est ipsum.</p>;<p>Aut et nam. Ab voluptas rerum. Suscipit reprehenderit et.</p>;40;false;false;online;all;embed_in_meeting_page;0;on_different_platform;;;;;;
6;1;Nightly Decidim;https://nightly.decidim.org/;1;https://nightly.decidim.org/processes/premium-horizon;"";5;Voluptas quia.;Harum sed.;Rerum delectus.;<p>Voluptates praesentium in. Possimus at eius. Dolor doloremque cum.</p>;<p>Nemo mollitia porro. Blanditiis eos sunt. Nihil iure non.</p>;<p>Ut sint consequuntur. Quis accusantium consequatur. Laboriosam ut necessitatibus.</p>;2024-09-12 00:00:00 UTC;2024-09-16 00:00:00 UTC;0;0;;398 Dickinson Ranch 20499 East Mohamed;;NIGHT-MEET-2025-01-6;0;https://nightly.decidim.org/processes/premium-horizon/f/5/meetings/6;"";"";true;false;;;2025-01-29 11:08:50 UTC;2025-01-29 11:08:51 UTC;;;0;false;true;false;;;true;7;https://www.youtube.com/watch?v=f6JMgJAQ2tc;;;;;;Decidim::Organization;;;;<p>Minus aut ullam. Vero asperiores quia. Dicta est at.</p>;<p>Molestias ullam dolore. Necessitatibus ut consequuntur. Maxime quo nam.</p>;<p>Quo accusamus expedita. Eum quos sapiente. Quos quia nam.</p>;50;true;false;online;all;open_in_live_event_page;0;on_this_platform;;;;;;
7;1;Nightly Decidim;https://nightly.decidim.org/;1;https://nightly.decidim.org/processes/premium-horizon;"";5;Est perspiciatis.;Ea doloremque.;Nulla dignissimos.;<p>Consectetur provident libero. Perspiciatis sint necessitatibus. Autem amet et.</p>;<p>Nihil harum incidunt. Nisi eius vel. Corrupti voluptas et.</p>;<p>Voluptatibus vel sit. Quo explicabo nihil. Quasi laboriosam harum.</p>;2025-05-14 00:00:00 UTC;2025-05-14 02:00:00 UTC;0;0;;624 Ariane Drive 44550 Maudeborough;;NIGHT-MEET-2025-01-7;0;https://nightly.decidim.org/processes/premium-horizon/f/5/meetings/7;"";"";true;false;;;2025-01-29 11:08:51 UTC;2025-01-29 11:08:52 UTC;-30.868370219184634;162.8824547326987;0;false;true;false;;;true;4;https://www.youtube.com/watch?v=f6JMgJAQ2tc;;;;;;Decidim::Organization;;;;<p>Qui architecto tenetur. Ut id quidem. Ipsam qui modi.</p>;<p>Alias officiis facilis. Repellat perspiciatis ad. Sed laudantium doloremque.</p>;<p>Quia fuga enim. Enim voluptate id. Nihil sed nesciunt.</p>;10;true;false;hybrid;all;open_in_live_event_page;0;registration_disabled;Nisi voluptas nihil ad.;Qui sit quia alias.;Quia quibusdam consequatur maxime.;Quo cum excepturi et accusantium dicta dolor tempora occaecati qui iure et tempore at ad aut possimus accusamus distinctio atque.;Accusamus autem sint quidem beatae ut placeat officia aut commodi est assumenda illum expedita quos soluta aut dolores omnis tempore.;Fugit est qui et illo eum minus et a voluptatem temporibus modi eum aliquam praesentium tenetur in aut non ea.
8;1;Nightly Decidim;https://nightly.decidim.org/;1;https://nightly.decidim.org/processes/premium-horizon;"";5;Dicta suscipit.;Omnis quasi.;Incidunt non.;<p>Officia non dolorem. Consequatur vel a. Animi sunt maiores.</p>;<p>Alias accusamus dolore. Repudiandae accusamus et. Quidem quia ut.</p>;<p>Eos sunt dolorum. Cupiditate ut animi. Et iusto nesciunt.</p>;2025-06-10 00:00:00 UTC;2025-06-10 02:00:00 UTC;0;0;;61354 Kohler Isle 41620 West Terrance;;NIGHT-MEET-2025-01-8;3;https://nightly.decidim.org/processes/premium-horizon/f/5/meetings/8;"";"";true;false;;;2025-01-29 11:08:52 UTC;2025-01-29 11:08:53 UTC;65.11929116208384;-117.25967573951016;0;false;true;false;;;true;5;;;;;http://purdy.test/eusebia;;Decidim::Organization;;;;<p>Assumenda deserunt aut. Illo eligendi repudiandae. Nemo eveniet voluptates.</p>;<p>Consequuntur aliquid nesciunt. Unde ea maiores. Non similique enim.</p>;<p>Laudantium tempore aut. Assumenda ex consequuntur. Unde et vel.</p>;10;false;false;in_person;all;none;0;on_different_platform;Deleniti aut.;Atque sequi.;Quasi soluta.;Est qui dignissimos odit quidem quae ipsam blanditiis molestiae cupiditate dicta eum inventore consequatur qui aspernatur adipisci magnam nemo veniam.;Autem fuga et qui neque voluptas ipsa tenetur quia in sed saepe dicta vel tempore sit maiores sit eum facere.;Voluptatem cupiditate quia corrupti est voluptate dolor vel corporis nam a aut quis unde reprehenderit modi molestiae voluptates consequatur rerum.
9;14;Dr. Robby Gislason;https://nightly.decidim.org/profiles/alphonso_ortiz-6692;1;https://nightly.decidim.org/processes/premium-horizon;"";5;Culpa quasi.;Voluptatem expedita.;Dolorum sunt.;<p>Nulla perspiciatis delectus. Omnis sit totam. Nihil totam dolorum.</p>;<p>Quia et ad. Voluptatem in dolorem. Tenetur dolores adipisci.</p>;<p>Vero et sunt. Dolore ab iste. Delectus beatae quis.</p>;2025-02-10 00:00:00 UTC;2025-02-10 03:00:00 UTC;0;0;;456 Randall Squares 61784-3335 Angellafurt;;NIGHT-MEET-2025-01-9;0;https://nightly.decidim.org/processes/premium-horizon/f/5/meetings/9;"";"";true;false;;;2025-01-29 11:08:53 UTC;2025-01-29 11:08:54 UTC;-37.71331099039014;-57.70276421900964;0;false;true;false;;;true;9;https://www.youtube.com/watch?v=f6JMgJAQ2tc;;;;http://quitzon-quitzon.example/gilbert.gerhold;;Decidim::UserBaseEntity;;;;<p>Nihil officia sapiente. Exercitationem tempore vel. Et veniam accusantium.</p>;<p>Quibusdam a non. Dicta tempore accusamus. Incidunt sed deserunt.</p>;<p>Temporibus quaerat sit. Quasi similique dolorum. Non doloremque ullam.</p>;40;false;false;hybrid;all;open_in_live_event_page;0;on_different_platform;Sint est.;Et maxime.;Et magni.;Ut repellendus qui amet expedita laudantium et qui eaque voluptates ut eum et necessitatibus.;Deserunt possimus quo ut dolores qui ipsam laudantium repellat et odio aspernatur quia suscipit.;Aut vel soluta officiis quo rerum qui ipsa optio quis sequi sed velit dolorem.
10;4;Birgit Schinner II;https://nightly.decidim.org/profiles/maudie-813;1;https://nightly.decidim.org/processes/premium-horizon;"";5;Omnis sed.;Similique perspiciatis.;Ipsam possimus.;<p>Pariatur numquam nihil. In sequi rerum. Accusantium id corrupti.</p>;<p>Est qui magnam. Sint reiciendis laboriosam. Dolorem alias et.</p>;<p>Quo dolor ullam. Deleniti quis rerum. Omnis sunt sit.</p>;2025-05-25 00:00:00 UTC;2025-05-25 04:00:00 UTC;0;0;;2538 Conn Burgs 59012 New Juliantown;;NIGHT-MEET-2025-01-10;0;https://nightly.decidim.org/processes/premium-horizon/f/5/meetings/10;"";"";true;false;;;2025-01-29 11:08:54 UTC;2025-01-29 11:08:55 UTC;-8.431786025095235;-123.75211886930997;0;false;true;false;;;true;5;https://www.youtube.com/watch?v=f6JMgJAQ2tc;;;;;12;Decidim::UserBaseEntity;;;;<p>Vitae perspiciatis accusantium. Dignissimos non asperiores. Odit doloremque vel.</p>;<p>Aliquam quo nostrum. Et exercitationem est. Minima blanditiis itaque.</p>;<p>Aut fugiat dolor. Quibusdam amet pariatur. Nisi aut eaque.</p>;30;true;false;hybrid;all;embed_in_meeting_page;0;on_this_platform;Vitae voluptas voluptates deserunt esse.;Quos voluptatibus rem ullam voluptatem.;Aliquid nulla in doloribus dolore.;Sit qui.;Molestiae et.;Est modi.
